vignette_id,run_id,s_norm,n_eff,condition_number,n_voices
BANCO-014,6,0.1880809225,1.6845038083,472.196316,16
BANCO-014,7,0.1860702328,1.6751391377,413.903944,16
BANCO-014,8,0.1878305643,1.6630522144,395.205088,15
BANCO-014,9,0.1875610114,1.6618386911,361.466185,15
BANCO-014,10,0.1894182753,1.6907614235,423.923803,16
BANCO-014,11,0.1889419935,1.6885301899,472.067348,16
BANCO-014,12,0.2090272573,1.7613072800,286.692288,15
BANCO-014,13,0.1840533698,1.6657980156,409.897334,16
BANCO-014,14,0.1881770483,1.6646133822,388.170222,15
BANCO-014,15,0.2054292478,1.7675083019,346.322965,16
BANCO-014,16,0.1800761896,1.6284935115,435.938224,15
BANCO-014,17,0.1768837732,1.6144755025,405.604141,15
BANCO-014,18,0.1838178454,1.6647105844,423.946613,16
BANCO-014,19,0.1860431993,1.6550220354,359.013672,15
BANCO-014,20,0.1897888203,1.6924993519,367.118934,16
BANCO-014,21,0.1748777261,1.6239541544,417.479260,16
BANCO-014,22,0.1933870534,1.7094689441,407.997803,16
BANCO-014,23,0.1982589476,1.7327166974,383.509879,16
BANCO-014,24,0.1818143009,1.6361767236,419.970028,15
BANCO-014,25,0.1818437993,1.6556241492,422.189546,16
BANCO-014,26,0.1850200460,1.6702686686,531.699364,16
BANCO-014,27,0.1817214382,1.6550625622,429.271795,16
BANCO-014,28,0.1957989154,1.7209386428,390.660201,16
BANCO-014,29,0.1892127265,1.6897981292,388.638955,16
BANCO-014,30,0.1738807842,1.6194715647,486.169551,16
BANCO-015,1,0.1678445458,1.5925936200,502.346441,16
BANCO-015,2,0.1582118139,1.5506222328,632.984963,16
BANCO-015,3,0.1657061953,1.5485331828,528.114025,14
BANCO-015,4,0.1638826753,1.5586226458,500.049368,15
BANCO-015,5,0.1787253546,1.6225471553,494.487241,15
BANCO-015,6,0.1726327535,1.6138774303,540.858072,16
BANCO-015,7,0.1700402619,1.5848306645,542.483803,15
BANCO-015,8,0.1854087293,1.6720696188,476.722934,16
BANCO-015,9,0.1657524654,1.5665347231,518.643004,15
BANCO-015,10,0.1733686879,1.5991801794,490.707368,15
BANCO-015,11,0.1630953716,1.5717605929,552.911877,16
BANCO-015,12,0.1676985160,1.5919489401,561.646702,16
BANCO-015,13,0.1644707094,1.5777655450,478.734394,16
BANCO-015,14,0.2011800959,1.7468072009,545.296025,16
BANCO-015,15,0.1614502253,1.5646076253,599.012399,16
BANCO-015,16,0.1721512113,1.6117241505,488.968491,16
BANCO-015,17,0.1773478275,1.6165056604,455.232744,15
BANCO-015,18,0.1719440606,1.6107987325,615.074094,16
BANCO-015,19,0.1767155362,1.6137401240,476.251899,15
BANCO-015,20,0.1690687521,1.5980084183,523.149466,16
BANCO-015,21,0.1746498558,1.6229284790,533.785414,16
BANCO-015,22,0.1515465432,1.5222298047,656.539095,16
BANCO-015,23,0.1775395500,1.6173451588,436.678064,15
BANCO-015,24,0.1829710157,1.6608065777,514.847413,16
BANCO-015,25,0.1782853999,1.6393701106,633.140956,16
BANCO-015,26,0.1553714540,1.5384588079,585.666552,16
BANCO-015,27,0.1613998978,1.5643893190,593.314966,16
BANCO-015,28,0.1775377510,1.6359753426,513.023384,16
BANCO-015,29,0.1724557705,1.6130856932,538.963713,16
BANCO-015,30,0.1640323558,1.5758491339,569.729582,16
